Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Port 3
19.852682,2601:199:67f:9670:900e:b017:a71f:28ae,2001:558:feed:443::1,TCP,74,57940,443,443
19.873921,2001:558:feed:443::1,2601:199:67f:9670:900e:b017:a71f:28ae,TCP,86,443,57940,57940
20.172681,10.0.0.144,10.0.0.255,UDP,77,46330,15600,15600
20.172682,fe80::10:18ff:fe35:282b,ff02::1,ICMPv6,174,,,
20.991788,10.0.0.194,224.0.0.251,MDNS,144,5353,5353,5353
20.991789,fe80::108d:597c:2ab2:6c66,ff02::fb,MDNS,164,5353,5353,5353
21.196927,10.0.0.228,224.0.0.251,MDNS,86,5353,5353,5353
21.7158,10.0.0.60,162.159.135.234,TLSv1.2,98,58849,443,443
21.757919,162.159.135.234,10.0.0.60,TLSv1.2,87,443,58849,58849
21.757977,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
23.044147,10.0.0.194,10.0.0.60,TCP,78,55002,57883,57883
23.142363,fe80::10:18ff:fe35:282b,ff02::1,ICMPv6,174,,,
23.756749,10.0.0.181,255.255.255.255,UDP,214,55464,6667,6667
24.067726,10.0.0.194,10.0.0.60,TCP,78,55002,57883,57883
24.068656,162.159.135.234,10.0.0.60,TLSv1.2,140,443,58849,58849
24.068707,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
24.67903,162.159.135.234,10.0.0.60,TLSv1.2,304,443,58849,58849
24.679128,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
24.990966,10.0.0.194,10.0.0.60,TCP,78,55002,57883,57883
25.307381,2601:199:67f:9670:900e:b017:a71f:28ae,2001:558:feed:443::1,TCP,74,57917,443,443
25.326967,2001:558:feed:443::1,2601:199:67f:9670:900e:b017:a71f:28ae,TCP,86,443,57917,57917
25.508726,2601:199:67f:9670:900e:b017:a71f:28ae,2a04:4e42:c00::282,TCP,74,58992,443,443
25.520009,2a04:4e42:c00::282,2601:199:67f:9670:900e:b017:a71f:28ae,TCP,86,443,58992,58992
25.616542,162.159.135.234,10.0.0.60,TLSv1.2,165,443,58849,58849
25.616639,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
25.701809,10.0.0.194,224.0.0.251,MDNS,115,5353,5353,5353
25.701993,fe80::108d:597c:2ab2:6c66,ff02::fb,MDNS,135,5353,5353,5353
25.747055,10.0.0.60,224.0.0.251,MDNS,554,5353,5353,5353
25.747172,fe80::1c45:ea8d:52c9:f531,ff02::fb,MDNS,574,5353,5353,5353
26.013678,10.0.0.194,10.0.0.60,TCP,78,55002,57883,57883
26.213757,10.0.0.144,10.0.0.255,UDP,77,50753,15600,15600
26.214247,fe80::10:18ff:fe35:282b,ff02::1,ICMPv6,174,,,
26.931179,162.159.135.234,10.0.0.60,TLSv1.2,148,443,58849,58849
26.931284,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
26.971528,10.0.0.194,10.0.0.60,TCP,78,55002,57883,57883
27.135513,10.0.0.1,224.0.0.1,IGMPv2,60,,,
